"station","swe_max"
"Agua Canyon",21.6
"Atwater",76.4
"Bear River RS",15.8
"Beaver Dams",20.2
"Beaver Divide",22
"Ben Lomond Peak",82.8
"Ben Lomond Trail",47
"Bevans Cabin",15.8
"Big Flat",36.6
"Black Flat U M",17.5
"Blacks Fork Jct",15.2
"Bobs Hollow",26.6
"Box Creek",13.3
"Box Springs",14.5
"Brian Head",34.1
"Brighton",42.5
"Brown Duck",27.5
"Buck Flat",28.5
"Buck Pasture",22
"Buckboard Flat",28.1
"Bug Lake",31.8
"Burts Miller Ranch",11.8
"Camp Jackson",32.5
"Cascade Mountain",42.7
"Castle Valley",27.2
"Chalk Creek",35.8
"Chepeta",22.5
"Clayton Springs",21.9
"Clear Creek",34.8
"Corral",20.9
"Currant Creek",24
"Daniels Strawberry",30.2
"Dills Camp",22.7
"Donkey Reservoir",12.1
"Dry Bread Pond",35.5
"Dry Fork",26.8
"EF Blacks Fork GS",15.6
"East Willow Creek",22.5
"Farmington",70.1
"Farmington Lower",56.2
"Farnsworth Lake",28.1
"Fish Lake Utah",16.6
"Five Points Lake",27.2
"GBRC HQ",26.2
"GBRC Meadows",37.8
"Garden City Summit",34.3
"Gardner Peak",23.6
"George Creek",32.8
"Gold Basin",34.9
"Gooseberry RS",11.3
"Gooseberry RS Up",16.9
"Gutz Peak",25.8
"Hardscrabble",41.8
"Harris Flat",22.7
"Hayden Fork",25.4
"Hewinta",15.1
"Hickerson Park",13.2
"Hobble Creek",28.2
"Hole in Rock",12
"Horse Ridge",35.6
"Huntington Horse",42.5
"Jones Corral",21.5
"Kilfoil Creek",23.5
"Kimberly Mine",25.3
"Kings Cabin",24.6
"Klondike Narrows",38.7
"Kolob",50.4
"Lakefork",19.6
"Lakefork Basin",32
"Lasal Mountain",26.2
"Lasal Mountain Lower",19.7
"Lightning Ridge",34.6
"Lily Lake",17.6
"Little Bear",25.4
"Little Grassy",10.9
"Lonesome Beaver",15.9
"Long Flat",20.2
"Long Valley Jct",21.7
"Lookout Peak",54.4
"Lost Creek Resv",14.2
"Louis Meadow",43.3
"Mammoth Cottonwood",37.9
"Merchant Valley",28.3
"Midway Valley",50
"Mill D North",57.5
"Mining Fork",42.5
"Monte Cristo",47.6
"Mosby Mtn",23.5
"Mt Baldy",41.4
"Mt Pennell",19.7
"Oak Creek",24.9
"Panguitch Lake RS",14.7
"Parleys Summit",35.3
"Parleys Upper",47.2
"Parrish Creek",59.2
"Payson R S",33.6
"Pickle Keg",27.2
"Pine Creek",31.9
"Powder Mountain",52.7
"Red Pine Ridge",23.2
"Redden Mine Lwr",30.3
"Rees Flat",23.4
"Rock Creek",14.3
"Rockwood GS",24.7
"Rocky Basin Settleme",46.3
"Santaquin Meadows",37.5
"Seeley Creek",23.7
"Smith",24.4
"Snowbird",72.3
"Spirit Lk",23.3
"Steel Creek Park",22.7
"Strawberry Divide",25.2
"Sunflower Flat",25.8
"Suu Ranch",26.8
"Takka Wiiya",23.4
"Temple Fork",29.5
"Thaynes Canyon",40.5
"Thistle Flat",25.7
"Timberline",25.5
"Timpanogos Divide",50.1
"Tony Grove Lake",57.8
"Tony Grove RS",22.7
"Trial Lake",40.4
"Trout Creek",20.6
"Upper Joes Valley",17.9
"Usu Doc Daniel",45.1
"Vernon Creek",33.4
"Webster Flat",35.5
"White River",21.8
"Widtsoe",21.2
"Wilbur Bench",23.2
"Wolf Creek Peak",37.3
"Wrigley Creek",19.7
"Yankee Reservoir",17.7
