"station","swe_max"
"Agua Canyon",3.6
"Bear River RS",7.3
"Beaver Dams",6.6
"Beaver Divide",9.5
"Ben Lomond Peak",16.4
"Ben Lomond Trail",6.3
"Bevans Cabin",1
"Big Flat",19.9
"Black Flat U M",6.3
"Blacks Fork Jct",7.6
"Bobs Hollow",11.7
"Box Creek",5.5
"Box Springs",4.3
"Brian Head",15.5
"Brighton",14.5
"Brown Duck",18.7
"Buck Flat",12.3
"Buck Pasture",13.4
"Buckboard Flat",10.7
"Bug Lake",17
"Burts Miller Ranch",5.4
"Camp Jackson",7.4
"Cascade Mountain",9.3
"Castle Valley",9.8
"Chalk Creek",20.2
"Chepeta",11.3
"Clayton Springs",8.6
"Clear Creek",13.3
"Corral",6.7
"Currant Creek",6.9
"Daniels Strawberry",9.9
"Dills Camp",7.9
"Donkey Reservoir",6.2
"Dry Bread Pond",15.4
"Dry Fork",8.1
"EF Blacks Fork GS",7.8
"East Willow Creek",8.6
"Farmington",24.5
"Farmington Lower",8.6
"Farnsworth Lake",20.8
"Fish Lake Utah",9.1
"Five Points Lake",14.3
"GBRC HQ",11.4
"GBRC Meadows",25.1
"Garden City Summit",16
"Gardner Peak",4.2
"George Creek",17.9
"Gold Basin",19.7
"Gooseberry RS",4.8
"Gooseberry RS Up",9.2
"Gutz Peak",2.7
"Hardscrabble",9.9
"Harris Flat",2.2
"Hayden Fork",10.9
"Hewinta",9.9
"Hickerson Park",7.7
"Hobble Creek",6.8
"Hole in Rock",5.4
"Horse Ridge",13.4
"Huntington Horse",20.6
"Jones Corral",8.9
"Kilfoil Creek",8.8
"Kimberly Mine",14
"Kings Cabin",9
"Klondike Narrows",13.5
"Kolob",17.5
"Lakefork",10
"Lakefork Basin",21
"Lasal Mountain",10.5
"Lasal Mountain Lower",7.9
"Lightning Ridge",13.9
"Lily Lake",12
"Little Bear",1.9
"Lonesome Beaver",6.1
"Long Flat",0.3
"Lookout Peak",20
"Lost Creek Resv",1.6
"Louis Meadow",9.8
"Mammoth Cottonwood",15.6
"Merchant Valley",12.2
"Midway Valley",17.2
"Mill D North",14.3
"Mining Fork",10.6
"Monte Cristo",22.9
"Mosby Mtn",12.4
"Mt Baldy",22.5
"Mt Pennell",1.7
"Oak Creek",4.2
"Panguitch Lake RS",0.2
"Parleys Summit",11.5
"Parleys Upper",19.5
"Parrish Creek",13.2
"Payson R S",10
"Pickle Keg",10.5
"Pine Creek",15
"Powder Mountain",20.6
"Red Pine Ridge",13.6
"Redden Mine Lwr",11.6
"Rees Flat",7.4
"Rock Creek",4.2
"Rocky Basin Settleme",11.4
"Santaquin Meadows",13.1
"Seeley Creek",10
"Smith",8.1
"Snowbird",33.9
"Spirit Lk",12.9
"Steel Creek Park",15.6
"Strawberry Divide",10.9
"Sunflower Flat",12.3
"Suu Ranch",6.9
"Takka Wiiya",11.5
"Temple Fork",10.4
"Thaynes Canyon",19.4
"Thistle Flat",12.8
"Timberline",7.8
"Timpanogos Divide",12.7
"Tony Grove Lake",27.6
"Tony Grove RS",4.6
"Trial Lake",22.6
"Trout Creek",9.3
"Upper Joes Valley",8.4
"Usu Doc Daniel",26.2
"Vernon Creek",4.7
"Webster Flat",8.4
"White River",8.4
"Widtsoe",6.7
"Wilbur Bench",9.7
"Wolf Creek Peak",19.8
"Wrigley Creek",8.1
"Yankee Reservoir",5.6
